id,first_name,last_name,party,contest,other,color,photo
nasheed,Jamilah,Nasheed,Democratic,State Senate,,#278D28,https://pbs.twimg.com/profile_images/662352641289138176/CKwB2UDK.jpg
wright-jones,Robin,Wright-Jones,Democratic,State Senate,,#3E59B4,http://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/4/7c/47c4c494-f0fd-5972-a789-e773bd6703fd/51944314cc2ea.image.jpg
mott-oxford,Jeanette,Mott-Oxford,Democratic,State Senate,,#E35D00,https://upload.wikimedia.org/wikipedia/en/f/f4/Jeanette_Mott_Oxford.jpg
