vtd,nasheed12,mott-oxford,wright-jones,slay13,mathews,reed,clay,britton,carnahan,gardner,hamacher,harmon,carl,nasheed16,hassinger16,wessels,wahby,jones,boyd,cmtjones,cmtmay,FrenchMayor17,ReedMayor17,BoydMayor16,JonesMayor17,KrewsonMayor17,HaasMayor17,MatthewsMayor17,YesOnP,NoOnP
12606,0,0,0,58,6,187,310,7,32,190,11,43,19,0,0,16,26,187,104,112,144,53,80,13,123,43,0,1,100,0
12701,0,0,0,63,12,228,335,5,24,216,12,55,15,0,0,14,9,215,108,0,0,68,95,12,100,9,0,3,100,0
12702,0,0,0,33,4,99,147,5,10,95,5,31,11,0,0,2,4,98,49,0,0,47,54,6,36,5,2,0,100,0
12703,0,0,0,38,5,158,178,1,9,118,5,42,7,0,0,6,16,83,74,0,0,38,49,11,57,5,0,0,100,0
12704,0,0,0,21,7,100,132,0,11,96,4,31,5,0,0,5,4,93,37,0,0,43,40,3,26,6,1,1,100,0
12705,106,12,46,33,0,109,158,3,7,85,5,49,7,139,10,6,10,75,68,0,0,49,53,8,53,10,0,2,100,0
12706,0,0,0,46,11,200,269,1,16,170,6,43,10,0,0,2,21,179,75,0,0,72,83,16,87,13,1,2,100,0
12707,0,0,0,54,9,295,342,3,27,259,9,55,12,0,0,3,15,272,76,0,0,96,101,10,95,17,0,1,100,0
12708,0,0,0,36,9,153,177,2,14,145,6,34,6,0,0,3,0,129,59,0,0,52,77,17,48,15,1,1,100,0
12801,38,71,47,124,0,28,68,2,93,81,22,8,57,129,37,63,37,39,17,0,0,34,12,3,72,134,3,0,100,0
12802,0,0,0,125,4,19,64,5,90,51,32,11,48,0,0,84,31,18,17,0,0,29,6,5,49,133,0,1,100,0
12804,0,0,0,113,0,14,47,3,88,57,29,4,47,0,0,62,29,26,10,0,0,31,12,1,51,140,0,0,100,0
12805,0,0,0,130,1,107,197,3,94,101,46,40,38,0,0,73,31,99,75,0,0,42,46,3,123,144,0,0,100,0
12806,0,0,0,125,2,74,151,3,97,121,50,26,61,0,0,72,51,71,35,0,0,40,31,2,113,180,0,0,100,0
12807,0,0,0,125,3,46,107,2,80,79,45,21,40,0,0,55,43,61,23,0,0,12,13,0,65,183,0,0,100,0
12808,0,0,0,164,2,51,97,6,129,116,45,16,70,0,0,68,57,72,24,0,0,45,20,2,103,201,0,1,100,0
12809,0,0,0,98,2,24,67,0,73,60,26,11,42,0,0,50,20,46,16,0,0,18,9,1,54,123,0,0,100,0
12810,0,0,0,241,0,80,163,7,177,169,59,22,61,0,0,106,103,93,34,0,0,27,28,4,92,326,1,0,100,0
12811,0,0,0,87,0,9,39,1,67,49,39,9,33,0,0,33,40,19,9,0,0,15,4,3,58,117,0,0,100,0
