vtd,nasheed12,mott-oxford,wright-jones,slay13,mathews,reed,clay,britton,carnahan,gardner,hamacher,harmon,carl,nasheed16,hassinger16,wessels,wahby,jones,boyd,cmtjones,cmtmay,FrenchMayor17,ReedMayor17,BoydMayor16,JonesMayor17,KrewsonMayor17,HaasMayor17,MatthewsMayor17,YesOnP,NoOnP
10607,89,165,85,243,6,124,152,12,178,140,84,39,80,266,77,77,76,107,64,0,0,74,87,13,211,133,1,1,100,0
10608,140,52,75,75,1,81,201,10,61,96,41,43,55,191,39,36,56,132,34,0,0,35,60,3,60,51,0,0,100,0
10609,10,7,9,17,0,13,15,1,11,20,6,7,11,33,11,6,6,6,9,0,0,4,5,1,15,11,0,0,100,0
10701,26,49,42,94,1,61,62,2,57,65,45,21,28,120,38,18,43,33,23,0,0,29,21,3,97,62,0,0,100,0
10702,38,41,41,69,1,58,62,4,59,63,29,27,32,121,30,29,23,45,21,0,0,36,31,3,68,54,0,0,100,0
10703,13,102,48,137,1,39,42,5,123,35,59,7,73,112,56,76,34,34,16,0,0,26,21,1,60,132,0,0,100,0
10704,35,43,64,142,0,64,81,5,61,132,59,40,75,214,78,35,24,53,25,0,0,65,43,6,161,171,2,1,100,0
10705,133,85,128,194,5,118,244,8,100,158,69,47,88,267,80,74,83,140,50,0,0,56,79,7,127,176,2,0,100,0
10706,53,194,114,288,8,82,94,13,268,75,107,42,151,200,173,132,110,67,60,0,0,64,85,4,151,287,3,1,100,0
10801,60,119,67,177,0,69,99,13,149,127,86,35,74,223,86,100,34,73,38,0,0,47,29,4,226,145,1,0,100,0
10802,0,0,0,152,1,33,40,14,76,47,44,16,61,0,0,63,20,22,19,0,0,19,24,2,96,103,1,1,100,0
10803,36,72,60,69,4,52,85,12,71,75,45,13,35,120,42,39,21,67,39,0,0,29,25,8,113,48,2,0,100,0
10804,85,158,80,190,2,108,144,11,179,155,162,49,93,345,101,85,48,123,63,0,0,78,45,14,309,140,1,1,100,0
10805,92,169,107,245,0,103,180,14,193,211,168,54,104,397,113,128,50,143,55,0,0,83,60,4,315,178,0,0,100,0
10806,5,7,5,6,0,4,11,0,7,4,2,0,0,3,2,2,0,8,5,0,0,0,1,0,8,2,0,0,100,0
10807,29,74,27,95,3,36,52,5,77,58,41,11,39,104,40,48,19,34,29,0,0,23,16,2,94,74,0,0,100,0
10808,52,120,88,188,5,78,129,9,130,97,97,32,78,209,81,75,34,113,38,0,0,54,26,3,136,148,2,2,100,0
10809,47,141,18,129,1,69,81,9,116,87,100,17,68,187,73,72,36,53,39,0,0,34,31,5,178,102,0,0,100,0
10901,58,55,73,73,5,103,99,11,82,114,47,34,59,172,78,44,24,73,43,0,0,28,55,2,140,55,2,1,100,0
10902,64,77,74,149,6,90,114,10,94,112,33,39,58,173,67,84,21,63,45,0,0,35,55,8,66,108,0,2,100,0
10903,39,125,30,156,1,54,69,7,118,61,92,22,67,139,99,70,46,40,26,0,0,47,40,14,140,124,3,1,100,0
10904,16,94,16,92,3,42,38,7,82,57,51,8,49,104,60,51,27,25,18,0,0,30,26,4,87,121,0,0,100,0
10905,17,86,29,96,5,41,46,9,80,63,77,15,57,141,68,52,22,31,22,0,0,45,28,3,150,100,2,3,100,0
10906,42,53,30,64,2,78,65,4,57,72,56,19,41,141,50,43,18,40,23,0,0,24,50,5,90,38,1,0,100,0
10907,5,2,2,4,0,0,8,0,2,2,0,1,0,3,0,2,0,2,5,0,0,9,9,0,31,9,0,0,100,0
10908,7,30,5,44,1,20,15,1,26,50,19,8,15,53,36,15,7,11,7,0,0,12,15,1,75,49,3,1,100,0
10909,10,43,19,54,1,18,20,3,50,23,20,10,32,55,27,28,12,14,11,0,0,14,9,4,52,55,1,0,100,0
11001,0,0,0,238,1,46,52,7,138,60,46,26,111,0,0,99,34,24,30,0,0,48,58,6,85,194,1,0,100,0
11002,0,0,0,270,2,29,60,10,149,33,80,18,92,0,0,135,43,5,23,0,0,35,22,15,50,223,0,0,100,0
11003,0,0,0,228,5,34,51,12,141,34,57,15,92,0,0,111,47,13,28,0,0,24,19,7,44,212,4,0,100,0
11004,0,0,0,197,0,48,46,9,130,63,62,22,95,0,0,86,19,23,45,0,0,40,37,7,104,152,0,0,100,0
11005,0,0,0,106,1,48,51,7,73,66,25,31,69,0,0,59,13,28,23,0,0,28,28,2,115,61,1,1,100,0
11006,0,0,0,58,0,7,18,4,23,10,11,4,14,0,0,29,6,5,5,0,0,3,2,0,14,50,0,0,100,0
11007,60,65,41,109,2,60,67,12,108,94,54,26,79,164,83,68,25,40,41,0,0,43,35,6,129,83,2,0,100,0
11009,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,2,0,0,2,0,0,4,1,0,0,100,0
11010,0,0,0,20,0,4,8,2,16,13,9,5,11,0,0,13,6,3,4,0,0,2,2,0,10,21,0,0,100,0
11101,14,36,27,86,3,40,14,4,61,24,21,12,45,48,47,45,10,11,12,0,0,13,28,3,28,78,5,3,100,0
11102,0,0,0,292,2,78,64,13,202,86,71,44,135,0,0,180,28,44,24,0,0,42,51,9,97,218,2,0,100,0
11103,13,27,24,56,0,41,28,4,33,40,16,10,26,60,31,30,10,12,12,0,0,22,22,3,28,44,5,0,100,0
11104,28,76,58,184,2,60,60,19,97,60,51,41,62,134,79,71,25,41,32,0,0,23,37,16,81,130,4,5,100,0
11105,30,101,60,191,5,59,67,11,114,65,52,37,55,142,61,105,29,33,24,0,0,33,55,10,58,121,3,1,100,0
11106,42,81,73,112,3,76,99,13,91,63,40,43,52,149,40,97,18,69,11,0,0,42,35,8,90,77,2,0,100,0
11201,0,0,0,162,1,49,15,7,107,16,31,7,57,0,0,83,16,6,21,0,0,13,34,0,16,126,0,0,100,0
11202,0,0,0,433,7,115,73,12,245,47,65,23,166,0,0,212,54,25,37,0,0,28,64,5,38,300,5,1,100,0
11203,0,0,0,175,2,50,14,2,116,32,37,13,73,0,0,73,21,11,19,0,0,15,44,5,41,132,6,0,100,0
11204,0,0,0,407,4,87,58,10,228,38,70,21,163,0,0,178,50,27,33,0,0,26,63,7,58,281,2,0,100,0
11205,0,0,0,423,1,66,59,12,219,61,115,19,146,0,0,176,47,17,36,0,0,67,48,7,112,295,3,0,100,0
11206,0,0,0,359,1,100,61,10,203,40,81,33,111,0,0,164,33,22,44,0,0,24,59,5,68,231,3,1,100,0
11208,2,5,8,10,0,7,1,1,13,3,6,4,7,6,13,8,2,2,3,0,0,1,5,0,0,11,0,1,100,0
11209,1,5,1,12,0,0,0,1,7,0,2,1,1,1,3,3,1,3,1,0,0,2,0,0,1,5,0,0,100,0
11301,0,0,0,269,5,87,50,11,179,75,54,27,142,0,0,153,37,25,23,0,0,48,65,10,108,200,3,2,100,0
11302,0,0,0,367,2,91,66,30,215,49,121,33,197,0,0,251,26,17,23,0,0,54,85,9,87,232,4,0,100,0
11303,36,76,69,151,3,68,77,5,116,70,41,17,52,110,63,121,20,36,18,0,0,32,38,0,65,90,3,0,100,0
11304,0,0,0,308,3,88,49,17,191,45,89,22,132,0,0,178,45,10,30,0,0,36,48,3,89,213,4,0,100,0
11306,0,0,0,168,4,47,48,15,106,48,45,28,64,0,0,111,21,20,16,0,0,24,42,6,40,98,3,1,100,0
11307,8,4,2,5,0,2,7,0,7,8,1,3,2,11,2,3,1,7,3,0,0,0,2,0,5,2,0,0,100,0
11401,0,0,0,200,4,45,37,5,97,49,48,10,90,0,0,73,18,13,27,0,0,38,34,7,97,142,4,0,100,0
11402,0,0,0,110,1,36,37,10,62,39,22,11,53,0,0,57,10,17,23,0,0,15,22,5,53,68,3,1,100,0
11403,0,0,0,215,6,38,36,21,138,68,31,34,75,0,0,99,21,22,35,0,0,34,51,6,63,110,5,2,100,0
11404,0,0,0,212,7,81,62,11,137,85,44,27,109,0,0,107,37,28,38,0,0,44,48,6,140,163,1,1,100,0
11405,22,20,24,55,1,25,27,2,37,26,9,10,41,64,24,18,11,12,19,0,0,17,14,1,38,33,1,0,100,0
11406,42,59,48,141,4,61,45,12,101,49,12,29,89,89,81,88,12,21,33,0,0,19,46,3,41,89,1,0,100,0
11407,0,0,0,18,0,7,7,0,8,4,5,1,7,0,0,9,0,2,4,0,0,10,9,3,4,8,0,0,100,0
11408,5,3,7,13,1,3,5,3,12,10,6,1,8,18,7,12,5,1,3,0,0,5,4,1,6,5,0,0,100,0
11409,10,21,13,56,2,13,16,2,27,16,10,9,24,41,19,13,8,5,16,0,0,9,6,2,23,30,3,0,100,0
11501,41,150,66,212,4,94,80,8,175,110,151,18,93,277,87,98,74,47,37,0,0,45,24,14,290,150,4,1,100,0
11502,39,242,49,264,2,124,79,10,253,127,175,27,145,343,116,143,83,64,40,0,0,107,27,9,351,198,4,1,100,0
11503,86,215,57,275,2,128,135,22,213,165,174,29,124,370,109,121,92,78,56,0,0,85,47,10,393,169,3,3,100,0
11504,57,38,30,73,5,58,66,7,52,71,30,18,29,106,38,31,20,24,49,0,0,17,28,4,93,30,6,0,100,0
11505,48,98,71,132,2,116,75,9,143,79,118,24,73,202,87,69,37,38,79,0,0,41,42,4,246,94,2,0,100,0
11506,30,42,37,92,3,34,44,8,60,45,19,18,32,81,32,40,19,17,36,0,0,20,13,3,65,48,2,0,100,0
11507,0,0,0,1,0,0,0,0,2,6,9,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0
11601,0,0,0,359,2,52,49,14,209,25,86,11,130,0,0,180,43,12,31,0,0,40,43,5,39,287,3,1,100,0
11602,0,0,0,421,3,59,46,13,236,14,104,9,185,0,0,203,54,13,28,0,0,38,53,5,50,361,3,3,100,0
11603,0,0,0,325,3,57,36,13,185,24,82,15,128,0,0,133,49,9,38,0,0,53,56,8,73,278,1,1,100,0
11604,0,0,0,375,1,96,43,17,213,25,80,21,176,0,0,175,43,8,39,0,0,33,67,8,44,348,4,1,100,0
11605,0,0,0,229,1,59,37,12,178,31,78,15,142,0,0,133,37,11,34,0,0,51,50,5,82,235,4,0,100,0
11606,0,0,0,335,1,37,38,6,171,18,76,12,167,0,0,137,39,10,20,0,0,49,33,14,46,297,3,1,100,0
11607,0,0,0,326,2,36,39,16,155,21,67,6,160,0,0,141,39,12,13,0,0,43,34,6,45,270,4,0,100,0
11608,0,0,0,101,1,27,16,6,53,14,14,11,51,0,0,40,11,5,16,0,0,8,20,4,18,61,3,3,100,0
11701,35,37,58,51,1,63,92,4,38,87,15,15,10,104,21,23,14,48,43,0,0,34,31,10,96,35,2,0,100,0
11702,24,35,25,85,2,41,42,2,43,52,12,5,24,73,18,21,13,35,13,0,0,25,16,3,66,39,0,1,100,0
11703,0,0,0,3,0,15,14,0,2,2,1,4,1,0,0,0,1,9,5,0,0,2,5,0,8,3,0,0,100,0
11704,90,64,73,55,2,86,163,5,69,147,22,33,43,202,40,37,19,88,80,0,0,69,52,9,125,58,2,5,100,0
11705,74,174,145,278,4,83,189,10,218,177,86,36,131,304,114,154,61,94,74,0,0,101,44,7,155,339,4,4,100,0
11706,0,0,0,105,1,115,159,6,94,166,47,36,43,0,0,56,32,92,78,0,0,66,52,7,204,101,0,0,100,0
11707,1,3,2,6,0,2,2,0,4,3,2,0,0,5,0,1,1,1,3,0,0,0,1,0,1,2,0,0,100,0
11708,95,76,63,112,1,85,157,8,83,143,21,39,52,202,32,46,28,87,70,0,0,55,59,8,122,94,3,2,100,0
11801,134,52,134,118,2,170,271,8,66,263,25,38,45,321,46,47,33,177,67,0,0,84,85,5,171,97,1,0,100,0
11802,120,18,66,42,1,153,193,4,23,171,8,27,14,186,28,12,14,124,61,0,0,54,68,5,82,21,1,2,100,0
11803,30,1,16,5,0,32,49,0,0,35,1,11,4,41,8,1,1,27,16,0,0,14,17,7,10,1,0,0,100,0
11804,0,0,0,41,6,172,260,5,20,173,3,35,2,0,0,11,19,151,87,0,0,50,84,9,83,14,0,0,100,0
11805,0,0,0,69,2,190,226,4,19,210,2,34,10,0,0,13,19,125,72,0,0,54,71,18,90,22,1,1,100,0
11806,0,0,0,41,2,163,228,2,28,141,1,38,13,0,0,13,24,121,84,0,0,48,57,12,66,19,1,1,100,0
11901,89,38,113,83,5,121,190,9,49,134,17,48,42,199,37,22,22,138,64,0,0,58,71,11,127,63,0,0,100,0
11902,7,0,5,3,0,6,12,0,0,2,1,0,1,2,0,0,3,3,4,0,0,2,2,0,1,3,0,0,100,0
11903,22,17,29,49,4,41,55,2,12,51,5,17,22,84,12,11,8,23,26,0,0,19,30,5,30,11,3,0,100,0
11904,60,51,100,66,3,127,159,8,48,110,19,42,23,181,18,20,23,102,58,0,0,43,91,4,70,41,0,0,100,0
11905,54,6,51,22,0,65,91,6,16,57,3,16,14,80,8,9,14,49,38,0,0,16,54,4,33,15,0,1,100,0
11906,96,12,70,41,0,157,161,4,23,142,13,40,28,195,27,13,26,83,60,0,0,53,83,6,81,29,2,0,100,0
11907,1,6,12,31,0,3,12,0,8,16,3,4,9,25,9,7,3,2,3,0,0,4,3,1,15,18,2,0,100,0
11908,68,11,50,35,2,97,111,8,12,91,7,24,13,113,20,8,14,52,53,0,0,30,40,5,42,14,1,0,100,0
11909,62,7,67,37,2,88,123,5,16,60,4,31,9,98,2,6,20,44,68,0,0,18,52,8,25,1,0,0,100,0
12001,57,64,59,66,3,76,124,6,51,87,15,32,42,144,30,42,29,55,53,0,0,30,41,3,55,32,0,0,100,0
12002,21,40,35,47,1,61,57,2,36,33,13,30,32,81,29,29,10,34,20,0,0,28,26,3,30,36,0,0,100,0
12003,62,72,75,60,1,114,130,10,72,91,22,44,100,204,52,64,26,70,47,0,0,32,57,1,103,45,1,0,100,0
12004,41,45,34,57,6,50,70,7,48,57,9,24,54,114,29,37,17,41,27,0,0,21,41,3,39,22,2,1,100,0
12005,78,66,57,84,0,88,116,7,81,118,39,39,61,191,59,43,24,68,65,0,0,35,53,6,128,46,0,1,100,0
12006,7,9,8,11,0,10,12,1,11,9,6,9,4,25,4,9,0,7,8,0,0,8,12,2,16,2,0,0,100,0
12007,19,19,16,24,2,29,31,0,23,36,9,16,21,64,17,11,6,19,18,0,0,5,18,2,28,17,1,0,100,0
12101,112,5,37,32,0,110,148,2,8,99,6,27,2,122,12,9,7,61,72,0,0,47,47,2,45,8,0,1,100,0
12102,182,19,68,47,4,184,255,4,18,190,2,39,3,225,10,9,21,117,120,0,0,84,76,14,60,11,0,0,100,0
12103,132,35,66,35,2,186,210,6,19,129,6,27,3,150,16,8,23,105,88,0,0,62,73,4,47,13,0,1,100,0
12104,266,55,74,49,5,247,364,7,20,243,4,33,10,278,12,9,24,228,121,0,0,158,62,2,65,6,0,1,100,0
12105,147,30,47,41,3,162,209,6,16,119,9,28,8,153,11,5,12,86,112,0,0,73,54,2,46,17,0,0,100,0
12106,185,41,65,49,4,209,273,4,13,168,4,45,16,211,19,7,23,144,105,0,0,88,83,6,59,13,0,2,100,0
12107,172,17,32,26,1,108,201,3,16,114,4,32,7,146,14,12,17,106,79,0,0,42,50,2,35,6,0,1,100,0
12108,0,0,0,51,8,138,181,2,10,121,4,26,2,0,0,9,17,98,64,0,0,60,49,4,63,6,1,1,100,0
12109,175,28,54,40,4,179,240,4,15,173,1,29,14,196,16,2,16,130,92,0,0,70,65,7,65,6,0,0,100,0
12201,0,0,0,21,1,61,94,2,7,76,1,17,7,0,0,2,6,35,59,0,0,22,24,21,17,4,0,0,100,0
12202,0,0,0,59,4,152,262,3,19,141,3,40,11,0,0,4,2,77,196,0,0,35,56,33,52,6,0,3,100,0
12203,0,0,0,67,1,159,240,5,12,170,3,45,8,0,0,5,15,67,170,0,0,47,52,58,59,13,0,1,100,0
