id,name,initiative,winner
12statesen,2012 State Sen,,nasheed12
mayor13,2013 Mayor,,slay
congress12,2012 House,,clay
circuit attorney,2016 Circ Atty,,gardner
statesen16,2016 State Sen,,nasheed16
